boob;boob boobed boobs
eunuch;eunuchs eunuch
wind;wind winded winding wound winds
damned;damned
hat;hats hat
fill;fills fill filling filled
vintage;vintage vintages
conspire;conspire conspiring conspired conspires
permanence;permanence
academic;academics academic
market;market markets marketed
smell;smelled smell smelling smells smelt
signed;signed
know;knows knowing no knew known know knowed
slave;slave slaved slaves slaving
dancer;dancers dancer
corporate;corporate corporates
funny;funnier funniest funny
triple;tripling triple triples tripled
glue;glueing glue glued glues gluing
stereo;stereo stereos
fruit;fruit fruiting fruits fruited
kitten;kitten kittens
money;moneys money
random;random
shove;shove shoved shoving shoves
bitch;bitching bitched bitches bitch
die;dies died die dieing dying
threat;threat threats
remove;remove removing removes removed
bother;bothered bothers bothering bother
turned;turned
god;god gods
slapped;slapped
caravan;caravans caravan
left;left lefts
bike;bike biked bikes biking
song;song songs
fly;flying fly flown flies flew
haired;haired
doggy;doggy doggies
dessert;desserts dessert
watcher;watcher watchers
partner;partners partnering partner partnered
fridge;fridge fridges
baby;babied babies babys babying baby
service;serviced services service servicing
married;married
imp;imps imp
fungal;fungal
pinky;pinkies pinky
louder;louder
program;programs programming program
university;university universities
demanded;demanded
waited;waited
restaurant;restaurant restaurants
bite;biting bite bites
facial;facial facials
locking;locking
heading;headings heading
playing;playing playings
slaver;slavered slavering slavers slaver
traitor;traitor traitors
center;center centered centering centers
people;peopled peoples people peopling
rocker;rocker rockers
women;women
cell;cells cell
weird;weird
inside;inside insides
stairs;stair stairs
headache;headache headaches
excite;excited excites excite
science;sciences science
penalty;penalty penalties
horrible;horrible
listen;listened listening listens listen
addressing;addressing
watch;watching watch watches watched
wizard;wizards wizard
theme;theming theme themes themed
gorilla;gorillas gorilla
library;libraries library
radar;radars radar
knock;knocking knock knocked knocks
cheated;cheated
drama;dramas drama
clubbing;clubbing
killing;killings killing
freeze;freezed freezes froze freeze freezing frozen
filmed;filmed
control;controls control controlling controlled
my;me mine my
disease;disease diseases
patent;patented patent patenting patents
vanilla;vanilla
deaf;deafer deaf
joking;joking
rip;rip ripping ripped rips
care;cares caring care cared
government;governments government
ass;asses ass
redundancy;redundancies redundancy
annoy;annoys annoyed annoying annoy
chew;chews chewed chewing chew
visual;visual
hit;hits hitting hit
penis;penis
slapping;slapping
abstract;abstract abstracting abstracts abstracted
opera;opera operas
mommy;mommy
rock;rocking rocked rock rocks
tough;toughest toughs tougher tough
cute;cuter cute cutest
freak;freaking freaks freak freaked
administration;administrations administration
communist;communist communists
nazi;nazis nazi
carry;carrying carries carried carry
trash;trashes trashed trashing trash
raping;raping
subject;subjects subject subjected subjecting
oil;oils oiled oiling oil
yelling;yelling
bang;banging bangs banged bang
zoo;zoo zoos
doctor;doctors doctor
net;netting nets net netted
flirting;flirting
cave;caves caved caving cave
beep;beeping beep beeps beeped
castle;castles castling castle castled
doorbell;doorbell doorbells
rumble;rumbled rumbles rumbling rumble
album;album albums
declaration;declaration declarations
stripper;stripper strippers
unethical;unethical
arm;arms arm arming armed
tiger;tiger tigers
crown;crowned crowns crown crowning
human;humans human
north;north
gracious;gracious
registration;registrations registration
rifle;rifled rifle rifles rifling
symphony;symphonies symphony
pumpkin;pumpkin pumpkins
raise;raised raise raises raising
dancing;dancing
nurse;nursed nurses nurse nursing
event;event events
shirt;shirts shirted shirt
swear;swearing swears swear swore sworn
cannibal;cannibal cannibals
fish;fished fish fishes fishing
ground;ground grounds
afraid;afraid
fiction;fiction fictions
respect;respected respecting respects respect
researcher;researchers researcher
global;global
food;foods food
post;post posts posted posting
cheese;cheeses cheese
type;typing types type typed
fuck;fucked fucking fuck fucks
reference;references referencing referenced reference
hell;hells hell
evolution;evolutions evolution
feet;feet
high;highest higher high highs
body;body bodies bodied bodys
reason;reasoning reason reasons reasoned
sell;selling selled sell sells sold
title;title titling titles titled
student;students student
pee;pees peed peeing pee
cock;cock cocking cocked cocks
rare;rarest rare rarer
twitter;twittering twitter twittered twitters
journalism;journalism
program;programs programming program
disc;discs disc
darling;darlingest darlings darling
hearth;hearths hearth
escaped;escaped
kingdom;kingdoms kingdom
mom;moms mom
laugh;laughing laughs laugh laughed
yellow;yellowed yellower yellows yellow
tee;tees teeing tee
wrestler;wrestlers wrestler
made;made
ambulance;ambulance ambulances
shouting;shouting
chain;chain chains chaining chained
upgrade;upgrade upgrades upgrading upgraded
shit;shits shitting shitted shit
riding;riding ridings
activate;activate activating activates activated
desk;desks desk
neighbor;neighbors neighbor
pays;pays
burning;burnings burning
skinny;skinnies skinnier skinny
military;militaries military
notice;noticed noticing notices notice
champagne;champagne champagnes
donated;donated
auto;autos auto
order;order ordered ordering orders
birdy;birdy birdies
robot;robots robot
turtle;turtles turtle
talk;talking talks talked talk
election;election elections
expert;expert experts
ghost;ghosted ghosting ghosts ghost
sensation;sensation sensations
adorable;adorable
virgin;virgins virgin
suitcase;suitcase suitcases
disrespect;disrespect disrespected
pin;pins pin pinned pinning
